rank,word,reading_kana,reading_romaji,part_of_speech,meaning,labels,example_1,example_2,example_3
1,あ,,a,Expression,Ah; oh,jlpt_n4,,,
2,ああ,,aa,Adverb,ah; yes,jlpt_n4,"人嫌らしさ恥じた

When other people had little mishaps, I found myself thinking, “Oh, I’m glad it wasn’t me.” But soon afterwards, I felt ashamed and disgusted with myself for thinking that way.","おいおい先生えあああマジだいじょうぶ休講にしたら

""...Hey...Hey, teacher!"" ""Eh? Oh."" ""Are you really OK? Shouldn't you cancel the lesson?""","ああそうそう滅多にっていうかほとんど使用したことがないコンドームを使いました

Ah, now I remember. I used a condom; something I rarely, or rather practically never, do."
3,アフリカ,,afurika,"Noun, Katakana",Africa,jlpt_n4,"と呼ばれる国はいつの時代にもある。

Throughout history, there have always been countries referred to as powerful countries.  Before the Common Era, for example, the Roman Empire was one such example. At its peak, its territory extended over Asia Minor, the Iberian Peninsula, the Mediterranean coast of Africa, and even Britain.","野生の虎はアフリカでは見られません

No wild tigers are to be found in Africa.","博士は年にアフリカで亡くなった

Dr. Hideo Noguchi died in Africa in 1928."
4,上がる,あがる,agaru,"Verb, Godan verb, Intransitive verb",to rise,jlpt_n4,"で見る必要がある。

Parents need to take a long-term perspective and not be impatient just because their child’s grades are not improving.","いる。

At the haunted house, a popular summer attraction in the amusement park, blood-soaked dolls appearing in the dark and eerie sound effects such as “hyū doro doro” are relentlessly stoking the fear of the visitors.","手震え日ごろ弾けなかった

At the students’ piano recital, my hands were shaking nervously, and I couldn't play as well as I usually do during my daily practice."
5,挨拶,あいさつ,aisatsu,"Noun, Suru verb",to greet,jlpt_n4,"では、まず始めに校長先生が挨拶をする。

At the morning assembly, the principal will begin by addressing the students.","だ。

We have a dog, so it is part of my routine to take him for a walk every morning.","新居引っ越し隣挨拶嬉しかった

When I moved into my new house and went to introduce myself to my neighbors, I was pleased to hear them say,  “If you come across any problems, please don’t hesitate to ask for our help any time.”"
6,味,あじ,aji,Noun,flavor; taste​; uniqueness; attractiveness; experience,jlpt_n4,"を作っている。

My mother writes haiku as a hobby.","だ。

We have a dog, so it is part of my routine to take him for a walk every morning.","私の趣味は本を読むことです。

My hobby is reading books."
7,アジア,,ajia,"Noun, Katakana",Asia,jlpt_n4,"と呼ばれる国はいつの時代にもある。

Throughout history, there have always been countries referred to as powerful countries.  Before the Common Era, for example, the Roman Empire was one such example. At its peak, its territory extended over Asia Minor, the Iberian Peninsula, the Mediterranean coast of Africa, and even Britain.","いた。

These two historically famous cities in the Asian and the Middle Eastern regions were connected by a seaway and had actively traded with each other.","から上昇気流に乗ってヒマラヤ山脈を越えるものもある。

Cranes are a type of migratory bird. Some cranes ride the ascending air current from central Asia and cross the Himalaya Mountains."
8,赤ちゃん,あかちゃん,akachan,Noun,baby; infant,jlpt_n4,"生まれてくる赤ちゃんの幸せを考えて姓名判断で名前を決めた。

We decided on the name of the coming baby based on onomancy, or divination from names, wishing for her happiness.","赤ちゃんが泣いている。

A baby is crying. I wonder if she is hungry.","に赤ちゃんが生まれる予定なので、出産祝いにベビー服をプレゼントしようと思う。

My older sister and her husband are expecting a baby next month, so I’m thinking of giving them some baby clothes as a celebration present."
9,赤ん坊,あかんぼう,akanbou,Noun,baby; infant,jlpt_n4,"は利用していない。

I don’t use an SNS because I don’t feel any particular need for it in my life.","をしてくれる存在を必要とする。

A newborn baby cannot do anything on his/her own, so he/she needs someone to take care of him/her.","赤ん坊のお尻みたいにすべすべだ

It's as smooth as a baby's bottom."
10,アクセサリー,,akusesarii,"Noun, Katakana",accessory,jlpt_n4,"運ばれた。

Tea utensils to be displayed at the exhibition were carefully packed and transported.","にした。

The actor, who is number one in terms of both popularity and acting ability, appeared at the party wearing a bright red dress with a deep slit and gold accessories. Her gorgeous attire attracted the attention of everyone. People could not take their eyes off her.","。売れるかどうかどきどきしていたが、

I sold one of my own handmade accessories for the first time on an Internet auction site. I was nervous about whether it would sell or not, and I was relieved when it sold."
11,アメリカ,,amerika,"Noun, Katakana",America,jlpt_n4,"にかけて急増した。

The first smartphone was introduced in the U.S. in 2007. The number of smartphone users in Japan surged between 2010 and 2015.","2008年発生した陥った

The global financial crisis triggered by the Lehman Brothers collapse in the United States in 2008 led to an economic recession worldwide.","国家要人護衛する行う

In the United States, there is a special agency called the Secret Service that is responsible for protecting national dignitaries. It also guards the President and his or her family."
