japanese_expression,english_meaning,grammar_structure,labels,example_1,example_2,example_3,example_4,example_5
だ / です(da / desu),"to be (am, is, are, were, used to)","Meaning 意味 to be (am, is, are, were, used to)
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方
present affirmative だ (casual) です (polite)
past affirmative だった (casual) でした (polite)
present negative じゃない ではない じゃありません ではありません
past negative じゃなかった ではなかった じゃありませんでした ではありませんでした",jlpt_n5,"今日は暑いですね。
kyou wa atsui desu ne.
It's pretty hot today, isn't it?","かれは私の友だちです。
kare wa watashi no tomodachi desu.
He is my friend.","日本の文化が好きです。
nihon no bunka ga suki desu.
I like Japanese culture","昔はサッカーが趣味だったが、今はやっていない。
mukashi wa sakka ga shumi datta ga, ima wa yatteinai.
Soccer used to be my hobby, but I don't play anymore.",
だけ(dake),only; just; as much as ~,"Meaning 意味 only; just; as much as ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 Verb (dictionary form) だけ Noun な-adjective + な い-adjective",jlpt_n5,"私の持っているお金はこれだけだ。
watashi no motteiru okane wa kore dake da.
This is the only money I have.","ちょっと見ているだけです。
chotto mitteiru dake desu.
I'm just looking around.","好きじゃない食べ物はトマトだけだ。
suki janai tabemono wa tomato dake da.
The only food I dislike are tomatoes.","ただ話していただけです。
tada hanashiteita dake desu.
I was just speaking.","問題はそれだけだと思うかい？
mondai wa sore dake da to omou?
You think that's all there is to this problem?"
だろう(darou),I think; it seems; probably; right?,"Meaning 意味 I think; it seems; probably; right?
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (dictionary form) だろう Noun な-adjective い-adjective",jlpt_n5,"彼はもうすぐ来るだろう。
kare wa mou sugu kuru darou.
He should be coming any moment now.","そうだろうと思ったよ。
sou darou to omotta.
I thought (figured) as much.","明日はたぶん雨が降るだろう。空に雲がたくさんあるから。
ashita wa tabun ame ga furu darou. sora ni kumo ga takusan aru kara.
It will likely rain tomorrow.. There's a lot of clouds in the sky now..","間違いないだろう。
machigai nai darou.
Surely there's no mistake.","たぶんこの雨は１時間ぐらいでやむだろう。
tabun kono ame wa ichijikan gurai de yamu darou.
This rain will probably be over in about an hour or so."
で(de),in; at; on; by; with; via ~,"Meaning 意味 in; at; on; by; with; via ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Noun で",jlpt_n5,"じてんしゃで行きます。
jitensha de ikimasu.
I will go by bicycle.","みんなで行こう！
minna de ikou!
Let's go together with everyone!","たまに一人でカラオケに行きます。
tamani hitori de karaoke ni ikimasu.
I sometimes go to sing karaoke by myself.","なにかの理由で彼は虫が怖いんだ。
nanika no riyuu de kare wa mushi ga kowai n da.
For some reason, he is scared of bugs.","そのシャツどこで買いました？
sono shatsu doko de kaimashita?
Where did you buy that shirt?"
でも(demo),but; however; though ~,"Meaning 意味 but; however; though ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese conjunctions
How to use 使い方 Between 2 clauses",jlpt_n5,"私は魚が好きです。でも肉も好きです。
watashi wa sakana ga suki desu. demo niku mo suki desu.
I like fish. But I also like meat.","パン屋に行きました。でも、何も買いませんでした。
panya ni ikimashita. demo, nanimo kaimasen deshita.
I went to the bakery, but didn't buy anything.","動物が好きです。でも、犬が一ばん好きです。
doubutsu ga suki desu. demo, inu ga ichiban suki desu.
I like animals. But I love dogs the most.","図書館に行きました。でも、集中できませんでした。
toshokan ni ikimashita. demo, shuuchuu dekimasen deshita.
I went to the library. But I wasn't able to concentrate.","スーパーに行きました。でも、財布を忘れました！
suupaa ni ikimashita. demo, saifu wo wasuremashita.
I went to the grocery store. But I forgot my wallet!"
でしょう(deshou),I think; it seems; probably; right?,"Meaning 意味 I think; it seems; probably; right?
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (dictionary form) でしょう Noun な-adjective い-adjective",jlpt_n5,"あの人は誰でしょう？
ano hito wa dare deshou?
I wonder who that person is..","いいでしょう。
ii deshou.
That sounds/seems good.","この問題は簡単でしょう？
kono mondai wa kantan deshou?
This problem is easy, right?","彼はもうすぐ来るでしょう。
kare wa mou sugu kuru deshou.
He should be here any second.","頑張れば、いい大学に行けるでしょう。
ganbareba, ii daigaku ni ikeru deshou.
If you work hard, you should be able to get into a good university."
どんな(donna),what kind of; what sort of,"Meaning 意味 what kind of; what sort of
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: pre-noun adjectival
How to use 使い方 どんな Noun",jlpt_n5,"ベトナムはどんな国ですか。
betonamu wa donna kuni desu ka.
What kind of country is Vietnam?","どんな仕事をするのですか。
donna shigoto o suru no desu ka?
What kind of work do you do?","どんな食べ物が好きですか。
donna tabemono ga suki desu ka.
What kind of food do you like?","どんなパソコンを持っていますか。
donna pasokon o motteimasu ka.
What kind of computer do you have?","どんな車に乗っていますか？
donna kuruma ni notteimasu ka?
What kind of car do you drive?"
どうして(doushite),why; for what reason; how,"Meaning 意味 why; for what reason; how
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese adverbs
How to use 使い方 can be used mid-sentence or to start new sentence",jlpt_n5,"どうして来ないの？
doushite konai no?
Why aren't you coming?","どうしてそうなったの？
doushite sou natta no?
How/why did that happen?","どうしてそれを知っている？
doushite sore o shitteiru?
How/why do you know that?","どうして日本に来たんですか？
doushite nihon ni kitan desu ka?
Why did you come to Japan?","どうして日本の夏はこんなに暑いんだろう。
doushite nihon no natsu wa konnani atsui n darou.
Why is Summer in Japan so hot..?"
どうやって(douyatte),how; in what way; by what means​,"Meaning 意味 how; in what way; by what means​
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 can be used at beginning or mid-sentence",jlpt_n5,"駅までどうやって行きますか。
eki made douyatte ikimasu ka.
How can I get to the station?","これはどうやって使いますか。
kore wa douyatte tsukaimasu ka.
How do you use this?","これはどうやって食べますか。
kore wa douyatte tabemasu ka.
How do you eat this?","リサさんは毎日どうやって学校へ来ますか。
risa san wa mainichi douyatte gakkou e kimasu ka.
Lisa, how do you come to school every day?","どうやって彼女と出会ったのですか。
douyatte kanojo to deatta no desu ka.
How did you meet her?"
があります(ga arimasu),there is; is (non-living things),"Meaning 意味 there is; is (non-living things)
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Noun がある / があります があった / がありました がない / がありません がなかった / がありませんでした",jlpt_n5,"人気がある。
ninki ga aru.
to be popular.","先月お金がぜんぜんなかった。
sengetsu okane ga zenzen nakatta.
Last month I had no money.","へやにテレビがあります。
heya ni terebi ga arimasu.
I have a TV in my room.","日本の好きじゃないところはあります。
nihon no suki janai tokoro ha arimasu.
There are some things I don't like about Japan.","このマンションにはへやが三つあります。
kono manshon niwa heya ga mitsu arimasu.
There are three rooms in this apartment."
