rank,kanji,onyomi,kunyomi,meaning,labels,notes,example_1,example_2
1,党,tou トウ,"nakama, mura なかま、 むら","party, faction, clique",jlpt_n2,,"僕は政党には関係しない。
boku wa seitou ni wa kankei shinai.
I'm not affiliated with any political party.","その党議は東京で行います。
sono tougi wa toukyou de okonaimasu.
The party meeting will be held in Tokyo."
2,協,kyou キョウ,,"co-, cooperation",jlpt_n2,,,
3,総,sou ソウ,"sube(te), fusa すべ(て)、 ふさ","general, whole, all",jlpt_n2,,"彼は総選挙で落選した。
kare wa sousenkyo de rakusen shita.
He lost the general election.","彼女は総理大臣の秘書官をしている。
kanojo wa souri daijin no hishokan o shite iru.
She is a secretary to the prime minister."
4,区,ku ク,,"ward, district",jlpt_n2,,,
5,領,ryou リョウ,eri えり,"jurisdiction, dominion",jlpt_n2,,,
6,県,ken ケン,ka(keru) か(ける),prefecture,jlpt_n2,,"私の主人は県警です。
watashi no shujin wa kenkei desu.
My husband is the prefectural police.","僕は長野県に住んでいます。
boku wa Nagano ken ni sunde imasu."
7,設,setsu セツ,mou(keru) もう(ける),"establishment, provision",jlpt_n2,,"この設備は使いやすいですか。
kono setsubi wa tsukai yasui desuka?
Is this equipment easy to use?","その会社は空港を建設しました。
sono kaisha wa kuukou o kensetsu shimashita.
That company built an airport."
8,保,"ho, hou ホ、ホウ",tamo(tsu) たも(つ),"protect, guarantee, keep",jlpt_n2,,,
9,改,kai カイ,arata(meru) あらた(める),"reformation, change, modify",jlpt_n2,,,
10,第,dai ダイ,,"No., number",jlpt_n2,,,
11,結,ketsu ケツ,"musu(bu), yu(u) むす(ぶ)、ゆ(う)","tie, bind, contract",jlpt_n2,,,
12,派,ha ハ,,"faction, group, party",jlpt_n2,,,
13,府,fu フ,,"borough, urban prefecture, govt office",jlpt_n2,,"彼は京都府警です。
kare wa Kyouto fukei desu.","彼らは新政府を樹立した。
karera wa shinseifu o juritsu shita.
They set up a new government."
14,査,sa サ,,investigate,jlpt_n2,,,
15,委,i イ,yuda(neru) ゆだ(ねる),"committee, entrust to",jlpt_n2,,,
16,軍,gun グン,ikusa いくさ,"army, force, troops",jlpt_n2,,,
17,案,an アン,tsukue つくえ,"plan, suggestion, draft",jlpt_n2,,,
18,策,saku サク,,"scheme, plan, policy",jlpt_n2,,,
19,団,"dan, ton ダン、トン","katamari, maru(i) かたまり、 まる(い)","group, association",jlpt_n2,,,
20,各,kaku カク,onoono おのおの,each; every; either,jlpt_n2,,,
21,島,tou トウ,shima しま,island,jlpt_n2,,,
22,革,kaku カク,kawa かわ,leather; skin; reform; become serious,jlpt_n2,,,
23,村,son ソン,mura むら,village; town,jlpt_n2,,,
24,勢,sei セイ,ikio(i) いきお(い),forces; energy; military strength,jlpt_n2,,"我々は敵の攻勢に後退した。
wareware wa teki no kousei ni koutai shita.
We retreated to the enemy's offensive.","彼の勢力は国中に及んでいる。
kare no seiryoku wa kunijuu ni oyonde iru.
His power stretches across the country."
25,減,gen ゲン,he(ru) へ(る),dwindle; decrease; reduce,jlpt_n2,,"この村の人口は減少した。
kono mura no jinkou wa genshou shita.
The population of this village has decreased.","私たちはそのコストを半減する。
watashitachi wa sono kosuto o hangen suru.
We are going to reduce that cost by half."
26,再,"sai, sa サイ、 サ",futata(bi) ふたた(び),"again, twice, second time",jlpt_n2,,,
27,税,zei ゼイ,,tax; duty,jlpt_n2,,,
28,営,ei エイ,itona(mu) いとな(む),occupation; camp; perform; build; conduct (business),jlpt_n2,,"私は営業部で働いています。
watashi wa eigyoubu de hataraite imasu.
I work in the sales department.","彼には営業の経験がありません。
kare ni wa eigyou no keiken ga arimasen.
He has no sales experience."
29,比,hi ヒ,kura(beru) くら(べる),compare; race; ratio,jlpt_n2,,,
30,防,bou ボウ,fuse(gu) ふせ(ぐ),ward off; defend; protect; resist,jlpt_n2,,,
31,補,ho ホ,ogina(u) おぎな(う),supplement; supply; offset; compensate,jlpt_n2,,,
32,境,kyou キョウ,sakai さかい,"boundary, border, region",jlpt_n2,,,
33,導,dou ドウ,michibi(ku) みちび(く),guidance; leading; conduct; usher,jlpt_n2,,,
34,副,fuku フク,,vice-; assistant; aide; duplicate; copy,jlpt_n2,,,
35,算,san サン,soro そろ,calculate; divining; number; probability,jlpt_n2,,,
36,輸,"yu, shu ユ、 シュ",,"transport, send, be inferior",jlpt_n2,,,
37,述,jutsu ジュツ,no(beru) の(べる),mention; state; speak,jlpt_n2,,,
38,線,sen セン,suji すじ,line; track,jlpt_n2,,,
39,農,nou ノウ,,agriculture; farmers,jlpt_n2,,,
40,州,shuu シュウ,su す,state; province,jlpt_n2,,,
41,武,"bu, mu ブ、 ム",take(shi) たけ(し),warrior; military; chivalry; arms,jlpt_n2,,,
42,象,"shou, zou ショウ、 ゾウ",katado(ru) かたど(る),elephant; pattern after; image; shape,jlpt_n2,,,
43,域,iki イキ,,range; region; limits; stage; level,jlpt_n2,,"この地域は商店が多いです。
kono chiiki wa shouten ga ooi desu.
There are many shops in this area.","あなたの地域はまだ暑いですか。
anata no chiiki wa mada atsui desuka?
Is your region still hot?"
44,額,gaku ガク,hitai ひたい,forehead; tablet; framed picture; sum; amount; volume,jlpt_n2,,,
45,欧,ou オウ,"uta(u), ha(ku) うた(う)、 は(く)",Europe,jlpt_n2,,,
46,担,tan タン,"katsu(gu), nina(u) かつ(ぐ)、 にな(う)",shouldering; carry; raise; bear,jlpt_n2,,,
