japanese_expression,english_meaning,grammar_structure,labels,example_1,example_2,example_3,example_4,example_5
あげく(ageku),to end up; in the end; finally; after all ~,"Meaning 意味 to end up; in the end; finally; after all ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (た form) あげく（に） Noun + の",jlpt_n2,"2時間も待たされたあげく、結局に試合は延期になった。
2じかんもまたされたあげく、けっきょくにしあいはえんきになった。
2 jikan mo matasareta ageku, keekyoku ni shiai wa enki ni natta.","毎日の残業のあげく、彼女は倒れて入院することになりました。
mainichi no zangyou no ageku, kanojo wa taorete nyuuin shita koto ni nari mashita.
After working overtime everyday, she collapsed and was hospitalized.","人気のラーメン店に２時間も並んだあげく、売り切れで食べられなかった。
ninki no raamen mise ni 2 jikan mo naranda ageku, urikire de taberarena katta.
After waiting at the popular ramen shop for 2 hours, they ended up sold out and I couldn't eat anything.","どの大学に入ろうかと、さんざん悩んだあげく、京都大学に決めた。
dono daigaku ni hairou ka to, sanzan nayanda ageku, kyouto daigaku ni kimeta.
After thinking it over carefully about which university to enter, I decided on Kyoto University.","彼らは夫婦げんかを繰り返したあげく、とうとう離婚した。
karera wa fuufu genka o kurikaeshita ageku, toutou rikon shita.
After fighting countless times, they finally got a divorce."
あるいは(aruiwa),or; either; maybe; perhaps; possibly ~,"Meaning 意味 or; either; maybe; perhaps; possibly ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese adverbs , Japanese conjunctions
How to use 使い方 あるいは other option",jlpt_n2,"今日中にファックス、あるいは、メールで送ってください。
kyoujuu ni fakkusu, aruiwa meeru de okutte kudasai.
Please send it today via fax or mail.","ご注文は電話か、あるいはインターネットでお願いします。
gochuumon wa, aruiwa intaanetto de onegai shimasu.
Please order either by phone or online.","来週の火曜日の午後はどうですか。あるいは水曜日の午前でも構いませんが．．．
raishuu no kayoubi no gogo wa dou desuka. aruiwa suiyoubi no gozen demo kamai masen ga…
How about Tuesday afternoon next week? Or Wednesday morning also works.","進学するか、あるいは就職するか私は迷っています。
shingaku suru ka, aruiwa shuushoku suru ka watashi wa mayotte imaus.
I'm not sure whether I should advance my education or start working.","あるいはそれは本当かもしれない。
aruiwa sore wa hontou kamoshirenai.
Perhaps that's true."
ばかり(bakari),"about, approximately ~","Meaning 意味 about, approximately ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese particles , ばかり expressions
How to use 使い方 Noun (indicates time or distance) ばかり",jlpt_n2,"彼女は30分ばかりベッドに横になった。
kanojo wa 30 pun bakari beddo ni yoko ni natta.
She lay in bed for about a half-hour.","５分ばかりこの道を行けば、右手にその店があります。
go fun bakari kono michi o ikeba, migite ni sono mise ga arimasu.
If you continue on this road for about 5 minutes, that shop will be on your right.","さくら大学まで２時間ばかりで着くと思います。
sakura daigaku made 2 jikan bakari de tsuku to omoimasu.
I think it takes about 2 hours to get to Sakura University.","今日は8時間ばかりプログラミングをやって、目が疲れた。
kyou wa 8 jikan bakari puroguramingu o yatte, me ga tsukareta.
Today I did programming for about 8 hours and my eyes are really tired.","昨日は4時間ばかりハイキングをしたから、今日は筋肉が痛い。
kinou wa 4 jikan bakari haikingu o shita kara, kyou wa kinniku ga itai.
Because I went hiking yesterday for about 4 hours, today my muscles are sore."
ばかりに(bakari ni),simply because; on account of~ (negative result),"Meaning 意味 simply because; on account of~ (negative result)
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese adverbs , ばかり expressions
How to use 使い方 Verb (casual) ばかりに Noun (+ である) な-adjective + な/である い-adjective",jlpt_n2,"お金がないばかりに、今度の旅行に行けなかった。
okane ga nai bakari ni, kondo no ryokou ni ikenakatta.
I wasn't able to go on this trip since I don't have any money.","ホラー映画を見たばかりに、怖くてなかなか寝られない。
horaa eiga o mita bakari ni, kowakute nakanaka nerarenai.
I watched a horror movie, which was really scary and now I can't seem to fall asleep.","先輩のアドバイスを聞き入れなかったばかりに大きな失敗をしてしまった。
senpai no adobaisu o kiki irenakatta bakari ni ooki na shippai o shite shimatta.
I didn't listen to the advice of my senior and ended up making a huge mistake.","彼の一言を信じたばかりにひどい目にあった。
kare no hitokoto o shinjita bakari ni hidoime ni atta.
I had a horrible experience all because I believed what he said.","経験がないばかりに苦労した。
keiken ga nai bakari ni kurou shita.
I suffered since I lacked any experience."
ちなみに(chinamini),by the way; in this connection; incidentally; (conjunction),"Meaning 意味 by the way; in this connection; incidentally; (conjunction)
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese conjunctions
How to use 使い方 ちなみに phrase",jlpt_n2,"これ、お土産だよ。ちなみにベトナムで買ったんだよ。
kore, omiyage da yo. chinamini betonamu de katta nda yo.
Here is a souvenir. I bought it in Vietnam by the way.","ちなみに、私のことを覚えていますか？
chinamini, watashi no koto o oboete imasu ka?
By the way, do you remember me?","ちなみに、私は刺身と寿司は好きではない。
chinamini, watashi wa sashimi to sushi wa suki dewa nai.
Incidentally, I do not like sashimi or sushi.","N2に合格したよ！ちなみに満点だったよ！
N2 ni goukaku shita yo! chinamini manten datta yo!
I passed the N2! And by the way, I got a full score!","ちなみに、私の日本語が間違ってたら遠慮なく言ってください。
chinamini, watashi no nihongo ga machigatte tarae enryo naku itte kudasai.
By the way, please feel free to tell me if my Japanese is wrong."
ちっとも～ない(chitto mo~nai),(not) at all; (not) in the least ~,"Meaning 意味 (not) at all; (not) in the least ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: ～ない
How to use 使い方 ちっとも Verb (ない form)",jlpt_n2,"彼は酒はちっとも飲まない。
kare wa sake wa chitto mo nomanai.
He doesn't drink any alcohol at all.","この商品はちっとも売れない。
kono shouhin wa chitto mo urenai.
This product does not sell at all.","俺の妻は英語をちっとも知らない。彼女は日本語しか話せない。
ore no tsuma wa eigo o chitto mo shiranai. kanojo wa nihongo shika hanasenai.
My wife doesn't know any English. She only speaks Japanese.","彼は父親の言うことをちっとも聞かない。
kare wa chichioya no iukoto o chitto mo kikanai.
He doesn't listen to anything his father says.","彼は女の子の気持なんかちっともわからない。
kare wa onna no ko no kimochi nanka chitto mo wakarai.
He doesn't understand the feelings of young women one bit."
だけあって(dake atte),being the case; precisely because; as expected from ~,"Meaning 意味 being the case; precisely because; as expected from ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (casual) だけあって だけのことはあって Noun な-adjective + な い-adjective",jlpt_n2,"このアパートは駅に近いだけあって、やっぱり家賃も高い。
kono apaato wa eki ni chikai dake atte, yappari yachin ga takai.
This apartment is close to the station, so as expected the rent is expensive.","さすが大都会だけあって何かしら仕事がある。
sasuga daitokai dake atte nanika shira shigoto ga aru.
As expected of a big city, there is always work to do.","料理教室に通っているだけあって、彼女の作る料理はとても美味しい。
ryouri kyoushitsu ni kayotte iru dake atte, kanojo no tsukuru ryouri wa totemo oishii.
She is taking lessons at a cooking school and so the food she makes is really delicious.","このバッグは安いだけあってすぐに壊れてしまった。
kono baggu wa yasui dake atte sugu ni kowarete shimatta.
As expected of this cheap bag, it broke right away.","この場所は有名なだけあって、たくさんの観光客がいる。
kono basho wa yuumei na dake atte, takusan no kankoukyaku ga iru.
This is a very famous place and so there are lots of tourists."
だけに(dake ni),being the case; precisely because; as one would expect,"Meaning 意味 being the case; precisely because; as one would expect
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (casual) だけに Noun な-adjective + な い-adjective",jlpt_n2,"駅が近いだけに家賃も高い。
eki ga chikai dake ni yachin mo takai.
The station is nearby, which is also why the rent is so high.","このホテルは５つ星ホテルなだけに、サービスが充実している。
kono hoteru wa itsutsu boshi hoteru na dake ni, saabisu ga juujitsu shite iru.
As one would expect of a 5-star hotel, the service is perfect.","彼女は日本語を20年教えているだけに、教え方がとても上手だ。
kanojo wa nihongo o 20 nen oshiete iru dake ni, oshiekata ga totemo jouzu da.
As expected of someone who has taught Japanese for 20 years, her teaching style is very good.","田中さんは小学校の時にアメリカで生活していただけに、英語の発音はネイティブのようだ。
tanaka san wa shougakkou no toki ni amerika de seikatsu shiteita dake ni, eigo no hatsuon wa neitibu no you da.
Tanaka spent his elementary school days in America, and as one would expect his English pronunciation is just like a native.","試験のために一生懸命勉強しただけに、不合格のショックは大きかった。
shiken no tame ni isshoukenmei benkyou shita dake ni, fugoukaku no shokku wa ookikatta.
I studied very hard for the exam, so I was really shocked when I heard that I failed."
だけは(dake wa),to do all that one can,"Meaning 意味 to do all that one can
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (dictionary form) だけは Same verb (past form)",jlpt_n2,"走れるだけは速く走った。
hashireru dake wa hayaku hashitta.
I ran as fast as my legs could carry me.","私はあなたを手伝えるだけは手伝ったよ。
watashi wa anata o tetsudaeru dake wa tetsudatta yo.
I did everything I could to help you.","彼氏のことは親に話すだけは話しました。
kareshi no koto wa oya ni hanasu dake wa hanashimashita.
I told my parents everything there is to say about my boyfriend.","覚えるだけは覚えたのだから 、後は試験の日を待つだけだ。
oboeru dake wa oboeta no da kara, ato wa shiken no hi o matsu dake da.
I've memorized everything I need to know, so all that's left is to wait until the day of the test.","すべて彼のことを聞くだけは聞いたが彼は悪い人を思わないよ。
subete kare no koto o kiku dake wa kiita ga kare wa warui hito o omowanai yo.
I heard everything I could about him, but I don't think he is a bad person."
だって(datte),because; but; after all; even; too,"Meaning 意味 because; but; after all; even; too
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese conjunctions
How to use 使い方 Noun + だって even, too だって + phrase because, but",jlpt_n2,"彼だって人間だ。
kare datte ningen da.
He is only human.","私だってあなたに会いたい。
watashi datte anata ni aitai.
I miss you too.","誰だってそんなことは知っているさ。
dare datte sonna koto wa shitteiru sa.
Everybody knows that.","私だって本くらい読むよ。
watashi datte hon kurai yomu yo.
Even I read books every once in a while.","「何を怒ってるの？」「だって、約束を破ったじゃん。』
""Why are you upset?""""Because you broke your promise!"""
