rank,word,reading_kana,reading_romaji,part_of_speech,meaning,labels,example_1,example_2,example_3
1,明かり,あかり,akari,Noun,light; illumination; glow; gleam,jlpt_n3,"明かりがつく。
akari ga tsuku.
The light turns on.","暗い部屋に明かりをともした。
kurai heya ni akari o tomoshita.
I turned on the light in the dark room.","蛍光灯の明かりで本を読む。
keikoutou no akari de hon o yomu.
I read by fluorescent light."
2,明ける,あける,akeru,"Verb, Ichidan verb, Transitive verb","to dawn,to become daylight",jlpt_n3,"ようやく夜が明けて長い夜が終わった

Finally dawn broke; the long night had ended.","きた。

I saw dawn breaking after staying up all night, studying for an exam.","恋を打ち明ける

Declare one's love."
3,明らか,あきらか,akiraka,"Adjective, な-adjective",clear; obvious,jlpt_n3,"悪魔の話は子供には怖い。
akuma no hanashi wa kodomo ni wa kowai.
Devil stories are scary for children.","彼は悪魔のような目をしていた。
kare wa akuma no you na me o shite ita.
He had eyes like a devil.","悪魔を退治する物語。
akuma o taiji suru monogatari.
A story about defeating a demon."
4,悪魔,あくま,akuma,Noun,devil; demon; fiend; Satan,jlpt_n3,"が悪かった。

The forest was dim, foggy, and creepy, as if demons lived there.","女は悪魔の宴へと向かう

She rides to the black sabbath.","魔女集会で悪魔を召喚する

Her coven conjures the demons."
5,暗記,あんき,anki,"Noun, Verb, Suru verb",memorization; learning by heart,jlpt_n3,"新たな一年が始まった。
arata na ichinen ga hajimatta.
A new year has begun.","新たな挑戦に挑む。
arata na chousen ni idomu.
I'll take on a new challenge.","新たな発見があった。
arata na hakken ga atta.
There was a new discovery."
6,新た,あらた,arata,"Noun, Adjective, な-adjective",new; fresh; novel,jlpt_n3,"有らゆる手段を尽くす。
arayuru shudan o tsukusu.
I'll try every possible means.","有らゆる分野で活躍する。
arayuru bunya de katsuyaku suru.
To be active in every field.","有らゆる可能性を考える。
arayuru kanousei o kangaeru.
Consider every possibility."
7,有らゆる,あらゆる,arayuru,Pre-noun adjectival,all; every​,jlpt_n3,"明日は同窓会の集まりがある。
ashita wa dousoukai no atsumari ga aru.
There's an alumni gathering tomorrow.","集まりの場所を決めよう。
atsumari no basho o kimemashou.
Let's decide where to meet.","週末に友達の集まりがある。
shuumatsu ni tomodachi no atsumari ga aru.
There's a friends' get-together on the weekend."
8,集まり,あつまり,atsumari,Noun,gathering; meeting; assembly; collection; attendance,jlpt_n3,"この部分がよく分からない。
kono bubun ga yoku wakaranai.
I don't understand this part well.","壊れた部分を直す。
kowareta bubun o naosu.
Fix the broken part.","重要な部分に線を引く。
juuyou na bubun ni sen o hiku.
Underline the important parts."
9,部分,ぶぶん,bubun,Noun,portion; section; part,jlpt_n3,"私の分はもう食べた。
watashi no bun wa mou tabeta.
I already ate my share.","三人分の料理を作る。
sannin bun no ryouri o tsukuru.
I'll make food for three people.","今日の分の仕事が終わった。
kyou no bun no shigoto ga owatta.
I finished today's share of work."
10,分,ぶん,bun,"Noun, Suffix",part; segment; share; ration,jlpt_n3,"古代文明の遺跡を訪れた。
kodai bunmei no iseki o otozureta.
I visited the ruins of an ancient civilization.","文明の発達は目覚ましい。
bunmei no hattatsu wa mezamashii.
The development of civilization is remarkable.","現代文明は便利だ。
gendai bunmei wa benri da.
Modern civilization is convenient."
11,文明,ぶんめい,bunmei,Noun,civilization; culture,jlpt_n3,"データを分析する。
deeta o bunseki suru.
Analyze the data.","分析の結果を報告する。
bunseki no kekka o houkoku suru.
Report the analysis results.","原因を分析した。
gen'in o bunseki shita.
I analyzed the cause."
12,分析,ぶんせき,bunseki,"Noun, Verb, Suru verb",analysis,jlpt_n3,"得意な分野を伸ばす。
tokui na bunya o nobasu.
Develop your strong areas.","この分野の専門家だ。
kono bunya no senmonka da.
He's an expert in this field.","様々な分野で活躍している。
samazama na bunya de katsuyaku shite iru.
He's active in various fields."
13,分野,ぶんや,bunya,Noun,field; sphere; realm; division; branch,jlpt_n3,"父親は会社員です。
chichioya wa kaishain desu.
My father is a company employee.","父親に相談する。
chichioya ni soudan suru.
I'll consult my father.","父親の日にはプレゼントを贈る。
chichioya no hi ni wa purezento o okuru.
I give a present on Father's Day."
14,父親,ちちおや,chichioya,Noun,father,jlpt_n3,"地平線に太陽が沈む。
chiheisen ni taiyou ga shizumu.
The sun sets on the horizon.","地平線まで続く道。
chiheisen made tsuzuku michi.
A road that continues to the horizon.","地平線が美しい。
chiheisen ga utsukushii.
The horizon is beautiful."
15,地平線,ちへいせん,chiheisen,Noun,horizon (related to land)​,jlpt_n3,"社会的な地位が上がった。
shakaiteki na chii ga agatta.
My social status has risen.","地位と収入は比例しない。
chii to shuunyuu wa hirei shinai.
Status and income don't always correlate.","彼は高い地位についている。
kare wa takai chii ni tsuite iru.
He holds a high position."
16,地位,ちい,chii,Noun,(social) position; status,jlpt_n3,"長期の休みを取る。
chouki no yasumi o toru.
Take a long vacation.","長期計画を立てる。
chouki keikaku o tateru.
Make a long-term plan.","長期留学を考えている。
chouki ryuugaku o kangaete iru.
I'm thinking about long-term study abroad."
17,長期,ちょうき,chouki,Noun,long-term,jlpt_n3,"仕事中は電話に出られない。
shigoto chuu wa denwa ni derarenai.
I can't answer the phone while working.","会議中のため席を外せない。
kaigi chuu no tame seki o hazusenai.
I can't leave my seat because the meeting is in progress.","食事中に話さない。
shokuji chuu ni hanasanai.
Don't talk while eating."
18,中,ちゅう,chuu,"Noun, Prefix, Suffix",during; while; medium; middle,jlpt_n3,"中学時代の友達だ。
chuugaku jidai no tomodachi da.
He's a friend from junior high school.","娘は中学二年生です。
musume wa chuugaku ninensei desu.
My daughter is in her second year of junior high.","中学の卒業式に出席した。
chuugaku no sotsugyoushiki ni shusseki shita.
I attended the junior high graduation ceremony."
19,中学,ちゅうがく,chuugaku,Noun,junior high school; middle school,jlpt_n3,"昼食は何にしますか。
chuushoku wa nani ni shimasu ka.
What would you like for lunch?","昼食を一緒に食べよう。
chuushoku o issho ni tabeyou.
Let's have lunch together.","昼食の時間は12時からだ。
chuushoku no jikan wa juuniji kara da.
Lunch break is from 12 o'clock."
20,昼食,ちゅうしょく,chuushoku,Noun,lunch; midday meal,jlpt_n3,"大部分の人が賛成した。
daibubun no hito ga sansei shita.
Most people agreed.","仕事は大部分終わった。
shigoto wa daibubun owatta.
Most of the work is done.","費用の大部分は交通費だ。
hiyou no daibubun wa koutsuuhi da.
Most of the cost is transportation."
21,大部分,だいぶぶん,daibubun,Noun,most part; greater part; majority,jlpt_n3,"ここで遊んでは駄目だ。
koko de asonde wa dame da.
You must not play here.","駄目元で頼んでみる。
dame moto de tanonde miru.
I'll ask just in case; nothing to lose.","もう駄目かもしれない。
mou dame kamo shirenai.
It might already be too late."
22,駄目,だめ,dame,"Noun, Adjective, な-adjective",no good; cannot,jlpt_n3,"男子トイレは右側です。
danshi toire wa migi gawa desu.
The men's room is on the right.","男子三人、女子二人です。
danshi sannin, joshi futari desu.
Three boys and two girls.","男子校に通っている。
danshikou ni kayotte iru.
He goes to an all-boys school."
23,男子,だんし,danshi,Noun,youth; young man,jlpt_n3,"偶然の出会いが人生を変えた。
guuzen no deai ga jinsei o kaeta.
A chance encounter changed my life.","出会いの場を作る。
deai no ba o tsukuru.
Create opportunities to meet people.","素敵な出会いに感謝している。
suteki na deai ni kansha shite iru.
I'm grateful for wonderful encounters."
24,出会い,であい,deai,Noun,meeting; rendezvous; encounter,jlpt_n3,"駅で昔の友達に出会った。
eki de mukashi no tomodachi ni deatta.
I ran into an old friend at the station.","良い本に出会えた。
yoi hon ni deaeta.
I found a good book.","毎日新しい人に出会う。
mainichi atarashii hito ni deau.
I meet new people every day."
25,出会う,であう,deau,Verb,to meet (by chance); to come across; to run across; to encounter,jlpt_n3,"休日は読書を楽しむ。
kyuujitsu wa dokusho o tanoshimu.
I enjoy reading on my days off.","読書が趣味です。
dokusho ga shumi desu.
Reading is my hobby.","寝る前に読書する。
neru mae ni dokusho suru.
I read before going to bed."
26,読書,どくしょ,dokusho,"Noun, Verb, Suru verb",reading,jlpt_n3,"努力は必ず報われる。
doryoku wa kanarazu mukuwareru.
Effort is always rewarded.","毎日努力している。
mainichi doryoku shite iru.
I'm making an effort every day.","努力の成果が出た。
doryoku no seika ga deta.
The results of my efforts showed."
27,努力,どりょく,doryoku,"Noun, Verb, Suru verb",effort; exertion; endeavor; hard work; striving,jlpt_n3,"同一の条件で比較する。
douitsu no jouken de hikaku suru.
Compare under the same conditions.","同一人物かどうか確認する。
douitsu jinbutsu ka dou ka kakunin suru.
Confirm whether it's the same person.","同一日に二つの会議がある。
douitsu nichi ni futatsu no kaigi ga aru.
There are two meetings on the same day."
28,同一,どういつ,douitsu,"Adjective, な-adjective",identical; same; one and the same; equal,jlpt_n3,"百円玉を三枚ください。
hyaku en dama o san mai kudasai.
Three 100-yen coins, please.","円高が続いている。
endaka ga tsuzuite iru.
The yen remains strong.","千円でお釣りはありますか。
sen en de otsuri wa arimasu ka.
Do you have change for 1000 yen?"
29,円,えん,en,Noun,yen; Japanese monetary unit; circle,jlpt_n3,"不利な条件で交渉した。
furi na jouken de koushou shita.
I negotiated under unfavorable conditions.","不利な立場に立たされた。
furi na tachiba ni tatasareta.
I was put in a disadvantageous position.","天候が不利に働いた。
tenkou ga furi ni hataraita.
The weather worked against us."
30,不利,ふり,furi,"Noun, Adjective, な-adjective",disadvantage; handicap; unfavorable position,jlpt_n3,"睡眠不足で体調が悪い。
suimin fusoku de taichou ga warui.
I feel unwell from lack of sleep.","経験不足を補う。
keiken fusoku o oginau.
Make up for lack of experience.","人手が不足している。
hitode ga fusoku shite iru.
We're short of staff."
31,不足,ふそく,fusoku,"Noun, Adjective, な-adjective, Verb, Suru verb",insufficiency; shortage; deficiency; lack; dearth,jlpt_n3,"再び日本を訪れたい。
futatabi nihon o otozuretaitai.
I want to visit Japan again.","再び挑戦する。
futatabi chousen suru.
I'll try again.","再び会える日を楽しみにしている。
futatabi aeru hi o tanoshimi ni shite iru.
I'm looking forward to seeing you again."
32,再び,ふたたび,futatabi,Adverb,again; once more; a second time,jlpt_n3,"外交問題について話し合う。
gaikou mondai ni tsuite hanashiau.
Discuss diplomatic issues.","外交官になりたい。
gaikoukan ni naritai.
I want to become a diplomat.","両国の外交関係が改善した。
ryoukoku no gaikou kankei ga kaizen shita.
Diplomatic relations between the two countries improved."
