japanese_expression,english_meaning,grammar_structure,labels,notes,example_1,example_2,example_3,example_4,example_5
上げる(ageru),to finish doing ~,"Meaning 意味 to finish doing ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: stem form grammar
How to use 使い方 Verb (ます stem) ます あげる あがる Related Kanji 漢字 N5 Kanji: 上 (ue, kami, jou) above, up",jlpt_n3,,"彼女は小説を書き上げた。
kanojo wa shousetsu o kaki ageta.
She finished writing her novel.","この会社は新製品を作り上げた。
kono kaisha wa shinseihin o tsukuri ageta.
This company has created a new product.","みんなの意見を取り入れて、とてもいいプランが出来上がった。
minna no iken o tori irete, totemo ii puran ga deki agatta.
A very good plan was completed, incorporating the opinions of everyone","研究のレポートを一日で書き上げた。
kenkyuu no repooto o ichinichi de kaki ageta.
I wrote my research report in one day.","出来上がった料理を、お客さんのところに運ぶのが私の仕事です。
deki agatta ryouri o, okyaku san no tokoro ni hakobu noga watashi no shigoto desu.
It is my job to bring the finished food to the customer."
あまりにも(amari ni mo),too much; so much… that; excessively ~,"Meaning 意味 too much; so much… that; excessively ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese adverbs
How to use 使い方 あまりに(も) Verb Adverb Adjective あまりの Noun",jlpt_n3,,"最近あまりに暑すぎる。
saikin amari ni atsu sugiru.
It's too hot recently..","彼はあまりにも変わった。
kare wa amari ni mo kawatta.
He changed a lot.","あまりにも天気が良い。
amari ni mo tenki ga yoi.
The weather is excellent.","あまりにも疲れているので仕事ができない。
amari ni mo tsukareteiru no de shigoto ga dekinai.
I am so tired that I cannot do my job.","あなたは起きるのがあまりに遅すぎる。
anata wa okiru no ga amari ni ososugiru.
You wake up too late.."
合う(au),do something together,"Meaning 意味 do something together
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: stem form grammar
How to use 使い方 Verb ます (stem form) 合う あう Related Kanji 漢字 N3 Kanji: 合 (gou, au) fit",jlpt_n3,,"私たちはその件について話し合いましょう。
watashi tachi wa sono ken ni tsuite hanashi aimashou.
Let's discuss together regarding that matter.","2人は愛し合っている。
futari wa aishiatteiru.
Those 2 are in love with each other.","チームだから、困った時は助け合いましょう。
chiimu da kara, komatta toki wa tasukeai mashou.
We are a team so whenever someone is in trouble, let's help each other!","私たちはお互い助け合うべきだ。
watashi tachi wa otagai ni tasuke au beki da.
We should help each other.","彼女は仲間とうまく付き合っている。
kanojo wa nakama to umaku tsukiatte iru.
She gets along well with her peers."
ばいい(ba ii),should; can; it’d be good if ~,"Meaning 意味 should; can; it’d be good if ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese conjunctions , Japanese particles , ば conditional form
How to use 使い方 Verb (ば conditional form) いい",jlpt_n3,,"どうすればいいですか？
dou sureba ii desu ka.
What should I do?","どこに行けばいいですか？
doko ni ikeba ii desu ka?
Where should I go?","私は何を言えばいいかわからない。
watashi wa nani o ieba ii ka wakaranai.
I'm not sure what I should say.","何を歌えばいいですか。
nani o utaeba ii desu ka.
What should I sing?","君が決めればいい。
kimi ga kimereba ii.
It is for you to decide."
ばよかった(ba yokatta),should have; would have been better if ~,"Meaning 意味 should have; would have been better if ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: ば conditional form
How to use 使い方 Verb (ば conditional form) よかった（のに）",jlpt_n3,,"そうすればよかった。
sou sureba yokatta.
I should have done that.","傘を持ってくればよかった。
kasa o motte kureba yokatta.
I should have brought an umbrella.","遅刻してしまった。もっと早く家を出ればよかった。
chikoku shite shimatta. motto hayaku ie o dereba yokatta.
I was late... I should have left home earlier.","早く連絡してくればよかったのに。
hayaku renraku shite kurereba yokatta noni.
You should have contacted me earlier.","友人にあんなことを言わなければよかった。
yuujin ni anna koto o iwanakereba yokatta.
I wish I hadn't said such a thing to my good friend."
ば～ほど(ba~hodo),the more… the more ~,"Meaning 意味 the more… the more ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese particles , ば conditional form
How to use 使い方 Verb (ば conditional form) same Verb + ほど な-adjective + なら same な-adj + なほど い-adjective + い ければ same い-adj + ほど",jlpt_n3,,"ビートルズの音楽は聞けば聞くほど好きになります。
biitoruzu no ongaku wa kikeba kiku hodo suki ni narimasu.
The more I listen to The Beetles, the more I end up liking their music.","考えれば考えるほどわからなくなる。
kangaereba kangaeru hodo wakaranaku naru.
The more I think about it, the less I understand.","勉強すればするほど、日本語が上手になりますよ。
benkyou sureba suru hodo, nihongo ga jouzu ni narimasu.
The more you study, the better your Japanese will get.","スーパーは家から近ければ近いほど便利です。
suupaa wa ie kara chikakereba chikai hodo benri desu.
The closer the supermarket is to home, the more convenient it is.","日本語は話せば話すほど上手になります。
nihongo wa hanaseba hanasu hodo jouzu ni narimasu.
The more Japanese you speak, the more you will improve."
ば～のに(ba~noni),would have; should have; if only ~,"Meaning 意味 would have; should have; if only ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese particles , ば conditional form
How to use 使い方 Verb (conditional form) clause + のに Noun + なら な-adjective + なら い-adjective + い ければ",jlpt_n3,,"このかばん、欲しいけど高いなあ。もっと安ければいいのに。
kono kaban, hoshii kedo takai naa. motto yasukereba ii noni.
I want this bag, but it's pretty expensive... If only it were a bit cheaper.","もうちょっと早く来れば、大好きなアイドルが見えるのに。
mou chotto hayaku kureba, daisuki na aidoru ga mieru no ni.
If only I came a little earlier, I could have seen my favorite idol.","日本語がもっと上手なら、仕事が見つけれるのになあ。
nihongo ga motto jouzu nara, shigoto ga mitsukereru noni naa.
If only I were better at Japanese, I would be able to find a job..","映画はとても面白かった。君も行けばよかったのに。
eiga wa totemo omoshirokatta. kimi mo ikeba yokatta noni.
The movie was very interesting. You should have gone!","車で行けば、間に合ったのに、自転車に乗ったから遅れてしまった。
kuruma de ikeba, ma ni atta noni, jitensha ni notta kara okurete shimatta.
I would have made it on time if I came by car, but I came by bicycle and was late.."
ばかりでなく(bakari denaku),not only... but also; as well as ~,"Meaning 意味 not only... but also; as well as ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: ばかり expressions
How to use 使い方 Verb (casual) ばかりでなく… (も) Noun な-adjective + な い-adjective + い",jlpt_n3,,"このマンションは狭いばかりでなく、暗いです。
kono manshon wa semai bakari denaku, kurai desu.
This apartment is not only very small, it's also quite dark.","彼は歌ばかりでなくダンスも上手です。
kare wa uta bakari denaku dansu mo jouzu desu.
He is not only good at singing, he also good at dancing.","うちの子は6歳なのに日本語ばかりでなく英語まで喋れるよ。
uchi no ko wa 6 sai nano ni nihongo bakari denaku eigo made shabereru yo!
Although our child is only 6, they can speak not only Japanese, but English as well.","このレストランは、味が悪いばかりでなく、店員の態度もひどい。
kono resutoran wa, aji ga warui bakari denaku, tenin no taido mo hidoi.
Not only is this restaurant's food bad, but the service is also horrible.","台風が来ている。雨ばかりでなく、風も強くなってきた。
taifuu ga kiteiru. ame bakari denaku, kaze mo tsuyoku natte kita.
The typhoon is coming. The rain as well as the wind are starting to get stronger."
べきだ(beki da),should do; must do ~,"Meaning 意味 should do; must do ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: auxiliary , expressing must do
How to use 使い方 Verb (standard form) べき（だ） Special verb する OR す る な-adjective + である い-adjective + い くある",jlpt_n3,,"私はそれについてもっと知るべきだ。
watashi wa sore ni tsuite motto shiru beki da.
I should know more about that.","約束は守るべきだ。
yakusoku wa mamoru beki da.
You should keep your promises.","早く帰宅すべきだ。
hayaku kitaku subeki da.
You should go home early.","真実を言うべきだ。
shinjitsu o iu beki da.
You should tell the truth.","おもちゃは、先ず安全であるべきです。
omocha wa, mazu anzen de aru beki desu.
Safety comes first for toys."
べきではない(beki dewa nai),should not do; must not do ~,"Meaning 意味 should not do; must not do ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
How to use 使い方 Verb (standard form) べきではない べきではありません Special verb する OR す る な-adjective + である い-adjective + い くある",jlpt_n3,,"そんなことをすべきではない。
sonna koto o subeki dewa nai.
You shouldn't do such a thing.","寝る前にアイスを食べるべきではない。
neru mae ni aisu o taberu beki dewa nai.
You shouldn't eat ice cream before going to bed.","私達は遅く寝るべきではありません。
watashitachi wa osoku neru beki dewa arimasen.
We shouldn't go to bed late.","約束を破るべきではありません。
yakusoku o yaburu beki dewa arimasen.
You shouldn't break your promises.","過去を忘れるべきではありません。
kako o wasureru beki dewa arimasen.
You shouldn't forget about your past."
中(chuu / juu),currently; during; at some point; throughout; before the end of ~,"Meaning 意味 currently; during; at some point; throughout; before the end of ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
How to use 使い方 Noun 中 ちゅう じゅう Related Kanji 漢字 N5 Kanji: 中 (chuu, naka) inside, center",jlpt_n3,,"私は一晩中泣いていた。
watashi wa hitobanjuu naiteita.
I cried all night.","午前中がいちばん調子がいいです。
gozen chuu ga ichiban choushi ga ii desu.
During the morning is the best.","英語は世界中で話されています。
eigo wa sekaijuu de hanasarete imasu.
English is spoken throughout the world.","この事件に関しては、ただいま確認中でございます。
kono jiken ni kanshite wa, tadaima kakuninchuu degozaimasu.
We are currently checking this case.","私は一晩中、両親の夢をみていた。
watashi wa hitobanjuu, ryoushin no yume o mite ita.
I dreamed of my parents all through the night."
だけ(dake),as much as ~,"Meaning 意味 as much as ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
How to use 使い方 Verb (dictionary form) だけ Noun な-adjective + な い-adjective",jlpt_n3,,"食べたいだけ食べなさい。
tabetai dake tabenasai.
Eat as much as you like.","私はそれをできるだけ早くいただけますか。
watashi wa sore o dekiru dake hayaku itadakemasu ka?
Would I be able to get that as soon as possible?","できるだけ早く返事をいただけると助かります。
dekiru dake hayaku henji o itadakeru to tasukarimasu.
I would appreciate it if you could reply to me as soon as possible.","食べ放題だから、食べれるだけ食べてくださいね。
tabehoudai da kara, tabereru dake tabete kudasai ne.
It's all you can eat, so eat as much as you can!","二度とここに戻れないから、読めるだけ本を読みたいです。
nido to koko ni modorenai kara, yomeru dake hon o yomitai desu.
I will never be able to come back here, so I want to read as much as I can."
