rank,kanji,onyomi,kunyomi,meaning,labels,notes,example_1,example_2
1,日,"nichi, jitsu ニチ, ジツ","hi, -bi, -ka ひ, -び, -か","day, sun, Japan, counter for days",jlpt_n5,,"毎日、日本語を勉強します。
mainichi nihongo o benkyou shimasu.
I study Japanese everyday.","ある日、私は彼に会った。
aru hi, watashi wa kare ni atta.
One day I met him."
2,一,ichi イチ,hito(tsu) ひと(つ),one,jlpt_n5,,"一人で学校へ行きます。
hitori de gakkou he ikimasu.
I go to school alone.","たい焼き一匹ください。
taiyaki ippiki kudasai.
One taiyaki please."
3,国,koku コク,kuni くに,country,jlpt_n5,,"あなたはどこの国から来ましたか？
anata wa doko no kuni kara kimashita ka?
What country did you come from?","彼は外国に長年住んでいた。
kare wa gaikoku ni naganen sundeita.
He lived abroad for many years."
4,人,"jin, nin ジン、 ニン",hito ひと,person,jlpt_n5,,"私はアメリカ人です。
watashi wa amerikajin desu.
I am American.","私の兄は人気がある。
watashi no ani wa ninki ga aru.
My older brother is popular."
5,年,nen ネン,toshi とし,"year, counter for years",jlpt_n5,,"お年はいくつですか？
otoshi wa ikutsu desu ka?
How old are you?","去年日本へ行きました。
kyonen nihon he ikimashita.
I went to Japan last year."
6,大,"dai, tai ダイ、 タイ",oo(kii) おお(きい),"large, big",jlpt_n5,,"あなたのことが大好きだ。
anata no koto ga daisuki da.
I love you! (or like you a lot)","このハンバーガーは大きいですね。
kono hanbaagaa wa ookii desune.
This hamburger is huge."
7,十,juu ジュウ,"tou, to とお、 と","ten, 10",jlpt_n5,,"今日は十四日です。
kyou wa juuyon nichi desu.
Today is the 14th.","来月二十歳になります。
raigetsu hatachi ni narimasu.
I turn 20 next month."
8,二,"ni, ji ニ、 ジ",futa(tsu) ふた(つ),"two, 2",jlpt_n5,,"水を二つください！
mizu o futatsu kudasai!
2 waters please!","二月はとても寒いです。
ni gatsu wa totemo samui desu.
February is very cold."
9,本,hon ホン,moto もと,"book, present, true, counter for long cylindrical things",jlpt_n5,,,
10,中,chuu チュウ,"naka, uchi, ata(ru) なか、 うち、 あた(る)","in, inside, middle, mean, center",jlpt_n5,,"中国に行ったことがありますか？
chuugoku ni itta koto ga arimasu ka?
Have you ever been to China before?","今は家の中にいますよ。
ima wa ie no naka ni imasu yo.
I'm inside the house right now."
11,長,chou チョウ,"naga(i), osa なが(い)、 おさ","long, leader, superior, senior",jlpt_n5,,,
12,出,"shutsu, sui シュツ、 スイ","de(ru), da(su), i(deru) で(る)、 だ(す)、 い(でる)","exit, leave, go out",jlpt_n5,,"あなたはどこの出身ですか。
Where are you from?","かれが出張に行く。
kare ga shuchcou ni iku.
He's going on a business trip."
13,三,san サン,mi(tsu) み(つ),"three, 3",jlpt_n5,,,
14,時,ji ジ,"toki, doki とき、 -どき","time, hour",jlpt_n5,,,
15,行,"kou, gyou, an コウ、 ギョウ、 アン","i(ku), yu(ku), okona(u) い(く)、 ゆ(く)、 おこな(う)","going, journey, carry out, line, row",jlpt_n5,,,
16,見,ken ケン,"mi(ru), mi(seru) み(る)、 み(せる)","see, hopes, chances, idea, opinion, look at, visible",jlpt_n5,,"この映画を見たことありますか？
kono eiga o mita koto arimasu ka?
Have you seen this movie before?","家から学校が見える。
ie kara gakkou ga mieru.
I can see my school from my house."
17,月,"getsu, gatsu ゲツ、 ガツ",tsuki つき,"month, moon",jlpt_n5,,,
18,分,"bun, fun, bu ブン、 フン、 ブ",wa(keru) わ(ける),"part, minute of time, understand",jlpt_n5,,"日本語分かりません。
nihongo wakarimasen.
I don't understand Japanese.","今日は気分はどうですか？
kyou wa kibun wa dou desu ka?
How are you feeling today?"
19,後,"go, kou ゴ、 コウ","nochi, ushi(ro), ato のち、 うし(ろ)、 あと","behind, back, later",jlpt_n5,,"後で電話します。
ato de denwa shimasu.
I'll give you a call later.","金曜日の午後に会いましょう。
kinyoubi no gogo ni aimashou.
Let's meet Friday morning."
20,前,zen ゼン,mae まえ,"in front, before",jlpt_n5,,"私の名前はジョンです。
watashi no namae wa jon desu.
My name is John.","駅前で会いましょう。
ekimae de aimashou.
Let's meet in front of the station."
21,生,"sei, shou セイ、 ショウ","i(kiru), u(mu), o(u), ha(eru), nama い(きる)、 う(む)、 お(う)、 は(える)、 なま","life, genuine, birth",jlpt_n5,,"私は9月に生まれました。
watashi wa kugatsu ni umaremashita.
I was born in September.","あなたも学生ですか？
anata mo gakusei desu ka?
Are you also a student?"
22,五,go ゴ,itsu(tsu) いつ(つ),"five, 5",jlpt_n5,,,
23,間,"kan, ken カン、 ケン","aida, ma, ai あいだ、 ま、 あい","interval, space",jlpt_n5,,,
24,上,"jou, shou, shan ジョウ、 ショウ、 シャン","ue, uwa, kami, a(geru), nobo(ru), tatematsu(ru) うえ、 うわ-、 かみ、 あ(げる)、 のぼ(る)、 たてまつ(る)","above, up",jlpt_n5,,"彼は上をむいて空を見ていた。
kare wa ue o muite sora o miteita.
He was looking up towards the sky.","電車はスピードを上げた。
densha wa supiido o ageta.
The train picked up speed."
25,東,tou トウ,higashi ひがし,east,jlpt_n5,,"風が東に変わった。
Kaze ga higashi ni kawatta","東京に住んでいます。
toukyou ni sundeimasu.
I live in Tokyo."
26,四,shi シ,"yo(tsu), yon よ(つ)、 よん","four, 4",jlpt_n5,,,
27,今,"kon, kin コン、 キン",ima いま,now; the present,jlpt_n5,,,
28,金,"kin, kon, gon キン、 コン、 ゴン","kane, kana, gane かね、 かな-、 -がね",gold,jlpt_n5,,"金曜日は空いていますか？
kinyoubi wa aiteimasu ka?
Are you free on Friday?","お金がないから何もできない。
okane ga nai kara nanimo dekinai.
I can't do anything because I have no money."
29,九,"kyuu, ku キュウ、 ク",kokono(tsu) ここの(つ),"nine, 9",jlpt_n5,,,
30,入,nyuu ニュウ,"i(ru), hai(ru) い(る)、はい(る)","enter, insert",jlpt_n5,,"明日は大学の入学式です。
ashita wa daigaku no nyuugaku shiki desu.
Tomorrow is my university's entrance ceremony.","この入口はわかりにくいです。
kono iriguchi wa wakarinikui desu.
This entrance is a bit difficult to see/find."
31,学,gaku ガク,mana(bu) まな(ぶ),"study, learning, science",jlpt_n5,,"来年から大学に入ります。
rainen kara daigaku ni hairimasu.
I start University next year.","弟はまだ中学生です。
otouto wa mada chuugakusei desu.
My younger brother is still a middle school student."
32,高,kou コウ,taka(i) たか(い),"tall, high, expensive",jlpt_n5,,"私はとても高い熱があった。
watashi wa totemo takai netsu ga atta.
I had a very high fever.","大学より高校のほうが楽しかった。
daigaku yori koukkou no hou ga tanoshikatta.
High school was more fun for me than university."
33,円,en エン,maru(i) まる(い),"circle, yen, round",jlpt_n5,,"百円ありますか？
hyaku en arimasu ka?
Do you have 100 yen?","このシャツは3千円です。
kono shatsu wa sanzen en desu.
This shirt is 3,000 yen."
34,子,"shi, su, tsu シ、 ス、 ツ","ko, ne こ、 ね",child,jlpt_n5,,"子どもが欲しいですか？
kodomo ga hoshii desuka?
Do you want to have kids?","今日は息子の誕生日です。
kyou wa musuko no tanjoubi desu.
Today is my son's birthday."
